Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type
281,50.98,-0.1595,53.39,53.54,53.69,16.34,0.4717,0.5448,1,2,Call
282,0,-0.1565,52.38,52.54,52.7,0,unch,0.535,0,0,Call
283,33.81,-0.1535,51.39,51.55,51.71,33.81,unch,0.5306,4,4,Call
284,0,-0.1505,50.38,50.55,50.71,0,unch,0.5181,0,0,Call
285,37.32,-0.1475,49.43,49.57,49.71,-1.39,-0.0359,0.5207,3,37,Call
286,37.1,-0.1446,48.4,48.56,48.71,2.21,0.0633,0.5035,1,1,Call
287,45.03,-0.1416,47.39,47.55,47.71,9.24,0.2582,0.4912,1,12,Call
288,46.27,-0.1386,46.41,46.53,46.64,9.44,0.2563,0,1,13,Call
289,33.65,-0.1356,45.49,45.6,45.7,0.96,0.0294,0.4916,2,64,Call
290,42.04,-0.1326,44.49,44.56,44.62,2.83,0.0722,0.4642,36,603,Call
291,33.5,-0.1296,43.46,43.54,43.62,7.23,0.2752,0.4473,1,3,Call
292,40.23,-0.1266,42.49,42.56,42.63,3.42,0.0929,0.4469,1,9,Call
293,38.75,-0.1236,41.49,41.57,41.64,6.86,0.2151,0.4393,1,228,Call
294,35.09,-0.1206,40.43,40.54,40.64,4.25,0.1378,0.416,7,62,Call
295,39.5,-0.1176,39.46,39.55,39.64,5.07,0.1473,0.388,2,179,Call
296,34.14,-0.1146,38.51,38.58,38.65,1.89,0.0586,0.4158,1,123,Call
297,32.77,-0.1117,37.46,37.6,37.74,3.01,0.1011,0.4132,1,53,Call
298,36.13,-0.1087,36.51,36.58,36.66,2.06,0.0605,0,17,285,Call
299,30.53,-0.1057,35.49,35.59,35.69,0.33,0.0109,0.3897,5,14,Call
300,34.1,-0.1027,34.49,34.62,34.75,2.19,0.0686,0,8,327,Call
301,31.27,-0.0997,33.47,33.6,33.72,3.63,0.1313,0.3715,3,160,Call
302,32.03,-0.0967,32.48,32.58,32.69,4.7,0.172,0,1,269,Call
303,31.02,-0.0937,31.5,31.65,31.79,1.88,0.0645,0,13,117,Call
304,28.6,-0.0907,30.56,30.67,30.79,0.32,0.0113,0,1,69,Call
305,29.03,-0.0877,29.54,29.67,29.79,1.76,0.0645,0,8,249,Call
306,26.14,-0.0847,28.6,28.67,28.73,2.51,0.1062,0.3408,1,116,Call
307,25.69,-0.0817,27.58,27.69,27.79,0.64,0.0255,0,2,183,Call
308,24.11,-0.0788,26.56,26.69,26.82,2.39,0.11,0.3259,1,140,Call
309,25.22,-0.0758,25.57,25.7,25.83,5.06,0.251,0.1533,10,179,Call
310,21.65,-0.0728,24.61,24.7,24.79,-0.58,-0.0261,0,2,300,Call
311,21.65,-0.0698,23.64,23.73,23.81,3.33,0.1818,0,4,112,Call
312,22.25,-0.0668,22.7,22.78,22.85,1.97,0.0971,0.1791,7,129,Call
313,18.71,-0.0638,21.69,21.81,21.93,-0.96,-0.0488,0,6,264,Call
314,19.08,-0.0608,20.77,20.84,20.91,0.77,0.0421,0,36,357,Call
315,19.27,-0.0578,19.76,19.85,19.94,2.19,0.1282,0.0781,13,280,Call
316,18.63,-0.0548,18.82,18.9,18.98,1.88,0.1122,0.2291,7,467,Call
317,17.64,-0.0518,17.85,17.93,18,1.92,0.1221,0.2208,7,491,Call
318,15.9,-0.0488,16.88,16.98,17.07,1.03,0.0693,0.1357,20,445,Call
319,15.19,-0.0459,15.91,16.01,16.11,1.71,0.1269,0.0664,5,641,Call
320,14.72,-0.0429,15,15.07,15.14,2.21,0.1767,0.2022,154,3473,Call
321,13.68,-0.0399,14.03,14.12,14.21,1.97,0.1682,0.185,102,1156,Call
322,12.98,-0.0369,13.1,13.18,13.25,1.68,0.1487,0.2114,71,867,Call
323,11.95,-0.0339,12.21,12.27,12.33,1.72,0.1681,0.1957,170,1830,Call
324,11.13,-0.0309,11.27,11.34,11.41,1.85,0.1994,0.2004,129,1024,Call
325,10.44,-0.0279,10.36,10.43,10.51,1.97,0.2326,0.2124,430,2792,Call
326,9.09,-0.0249,9.52,9.57,9.62,1.45,0.1898,0.1699,149,2365,Call
327,8.44,-0.0219,8.65,8.7,8.75,1.62,0.2375,0.183,627,2219,Call
328,7.83,-0.0189,7.8,7.85,7.9,1.72,0.2815,0.1937,1745,2251,Call
329,7,-0.0159,6.99,7.03,7.06,1.58,0.2915,0.1876,1559,2205,Call
330,6.21,-0.013,6.19,6.23,6.26,1.71,0.38,0.1823,2759,14907,Call
331,5.46,-0.01,5.43,5.46,5.49,1.6,0.4145,0.1776,2959,3702,Call
332,4.76,-0.007,4.7,4.73,4.76,1.44,0.4337,0.1736,6235,2782,Call
333,4.04,-0.004,4.01,4.04,4.07,1.39,0.5245,0.1666,5765,2645,Call
334,3.38,-0.001,3.39,3.41,3.43,1.18,0.5364,0.1605,5079,2192,Call
335,2.83,0.002,2.81,2.83,2.85,1.04,0.581,0.1575,6036,5665,Call
336,2.31,0.005,2.3,2.32,2.33,0.94,0.6861,0.1534,5119,7915,Call
337,1.86,0.008,1.85,1.87,1.88,0.76,0.6909,0.15,1851,2265,Call
338,1.44,0.011,1.47,1.48,1.5,0.6,0.7143,0.1453,3935,1716,Call
339,1.16,0.014,1.15,1.16,1.17,0.42,0.5676,0.1454,1170,1257,Call
340,0.89,0.017,0.88,0.89,0.9,0.41,0.8542,0.1433,16376,4988,Call
341,0.65,0.02,0.67,0.68,0.69,0.3,0.8571,0.1398,993,1491,Call
342,0.49,0.0229,0.51,0.52,0.52,0.24,0.96,0.1392,468,1010,Call
343,0.37,0.0259,0.38,0.39,0.39,0.16,0.7619,0.1394,475,980,Call
344,0.3,0.0289,0.28,0.29,0.3,0.12,0.6667,0.1426,289,560,Call
345,0.22,0.0319,0.21,0.22,0.22,0.1,0.8333,0.1423,887,1068,Call
346,0.15,0.0349,0.16,0.17,0.17,0.06,0.6667,0.1404,351,550,Call
347,0.1,0.0379,0.12,0.13,0.13,0.03,0.4286,0.1387,93,1297,Call
348,0.09,0.0409,0.09,0.1,0.1,0.03,0.5,0.1447,132,481,Call
349,0.06,0.0439,0.07,0.08,0.08,0.02,0.5,0.1434,289,557,Call
350,0.05,0.0469,0.05,0.06,0.06,0.01,0.25,0.1474,1471,1473,Call
351,0.03,0.0499,0.04,0.05,0.05,0,unch,0.1445,142,133,Call
352,0.02,0.0529,0.03,0.04,0.04,0,unch,0.1443,8,48,Call
353,0.02,0.0558,0.02,0.03,0.03,0,unch,0.1513,17,1234,Call
354,0.01,0.0588,0.02,0.03,0.03,-0.01,-0.5,0.1463,25,35,Call
355,0.02,0.0618,0.01,0.02,0.02,0.01,1,0.165,140,502,Call
356,0.01,0.0648,0.01,0.02,0.02,-0.02,-0.6667,0.1663,5,35,Call
357,0.02,0.0678,0.01,0.02,0.02,0.01,1,0.1786,2184,171,Call
358,0.01,0.0708,0.01,0.02,0.02,0,unch,0.1718,3911,4,Call
359,0.01,0.0738,0.01,0.02,0.02,0,unch,0.1781,1761,20,Call
360,0.01,0.0768,0,0.01,0.01,0,unch,0.1843,9,140,Call
361,0,0.0798,0,0.01,0.01,0,unch,0,0,0,Call
362,0,0.0828,0,0.01,0.01,0,unch,0,0,0,Call
365,0.01,0.0917,0,0.01,0.01,0,unch,0,159,1119,Call
370,0.01,0.1067,0,0.01,0.01,-0.01,-0.5,0,109,886,Call
375,0.02,0.1216,0,0.01,0.01,-0.03,-0.6,0,6,212,Call
380,0.01,0.1366,0,0.01,0.01,-0.04,-0.8,0,4,10,Call
385,0.01,0.1516,0,0.01,0.01,0,unch,0,1,249,Call
390,0,0.1665,0,0.01,0.01,0,unch,0,0,0,Call
395,0.01,0.1815,0,0.01,0.01,0.01,unch,0.3836,25,0,Call
160,0.01,-0.5214,0,0.01,0.01,0,unch,0,2,1102,Put
165,0.01,-0.5065,0,0.01,0.01,-0.02,-0.6667,0,1015,1050,Put
170,0.01,-0.4915,0,0.01,0.01,0,unch,0,400,616,Put
175,0.01,-0.4766,0,0.01,0.01,0,unch,0,3,1112,Put
180,0.01,-0.4616,0,0.01,0.01,0,unch,0,596,720,Put
185,0.02,-0.4467,0,0.01,0.01,0,unch,0,101,179,Put
190,0.01,-0.4317,0,0.01,0.01,-0.01,-0.5,0,419,574,Put
195,0.01,-0.4167,0,0.01,0.01,-0.01,-0.5,0,730,1255,Put
200,0.02,-0.4018,0,0.01,0.01,-0.01,-0.3333,0,53,2769,Put
205,0.02,-0.3868,0,0.01,0.01,-0.01,-0.3333,0,160,841,Put
210,0.04,-0.3719,0,0.01,0.01,0.01,0.3333,0,510,748,Put
215,0.02,-0.3569,0,0.01,0.01,0,unch,0,1,445,Put
220,0.01,-0.342,0,0.01,0.01,0,unch,0.9142,4,1998,Put
225,0.01,-0.327,0,0.01,0.01,0,unch,0.8683,70,554,Put
230,0.01,-0.3121,0.01,0.02,0.02,0,unch,0.8233,55,1102,Put
235,0.02,-0.2971,0.01,0.02,0.02,-0.01,-0.3333,0.8067,59,111,Put
240,0.03,-0.2821,0.01,0.02,0.02,-0.07,-0.7,0.762,6,1091,Put
245,0.02,-0.2672,0.01,0.02,0.02,-0.01,-0.3333,0.7181,48,16950,Put
250,0.01,-0.2522,0.01,0.02,0.02,-0.01,-0.5,0.6513,138,12556,Put
255,0.03,-0.2373,0.02,0.03,0.03,-0.01,-0.25,0.6638,1,7286,Put
260,0.03,-0.2223,0.02,0.03,0.03,0,unch,0.6317,56,26061,Put
265,0.04,-0.2074,0.03,0.04,0.04,0,unch,0.5976,2,25838,Put
270,0.04,-0.1924,0.04,0.05,0.05,0,unch,0.562,277,1073,Put
274,0.05,-0.1805,0.04,0.05,0.05,-0.07,-0.5833,0.5341,16,8356,Put
275,0.05,-0.1775,0.04,0.05,0.05,0,unch,0.5316,2,14409,Put
276,0.05,-0.1745,0.05,0.06,0.06,0,unch,0.5228,882,535,Put
277,0.05,-0.1715,0.05,0.06,0.06,0,unch,0.514,801,1081,Put
278,0.05,-0.1685,0.05,0.06,0.06,0,unch,0.5052,1,1192,Put
279,0.12,-0.1655,0.05,0.06,0.06,-0.17,-0.5862,0.502,5,754,Put
280,0.05,-0.1625,0.05,0.06,0.06,-0.01,-0.1667,0.4876,45,13366,Put
281,0.05,-0.1595,0.06,0.07,0.07,-0.02,-0.2857,0.4789,12,257,Put
282,0.13,-0.1565,0.06,0.07,0.07,-0.07,-0.35,0.4852,13,3344,Put
283,0.06,-0.1535,0.06,0.07,0.07,-0.02,-0.25,0.4716,12,395,Put
284,0.07,-0.1505,0.06,0.07,0.07,-0.04,-0.3636,0.4674,10,4345,Put
285,0.07,-0.1475,0.07,0.08,0.08,-0.01,-0.125,0.4627,70,1187,Put
286,0.08,-0.1446,0.07,0.08,0.08,-0.04,-0.3333,0.4578,9,890,Put
287,0.08,-0.1416,0.07,0.08,0.08,0,unch,0.4526,1,401,Put
288,0.08,-0.1386,0.07,0.08,0.08,0,unch,0.4435,23,3884,Put
289,0.07,-0.1356,0.08,0.08,0.09,-0.03,-0.3,0.427,5,687,Put
290,0.08,-0.1326,0.08,0.08,0.09,-0.01,-0.1111,0.4254,167,14150,Put
291,0.08,-0.1296,0.09,0.1,0.1,-0.04,-0.3333,0.4164,26,418,Put
292,0.08,-0.1266,0.09,0.1,0.1,-0.03,-0.2727,0.4074,10,291,Put
293,0.12,-0.1236,0.09,0.1,0.1,-0.04,-0.25,0.4078,22,565,Put
294,0.08,-0.1206,0.1,0.11,0.11,-0.04,-0.3333,0.3894,11,1233,Put
295,0.11,-0.1176,0.1,0.11,0.11,0,unch,0.3977,470,7666,Put
296,0.1,-0.1146,0.11,0.11,0.12,-0.03,-0.2308,0.3831,11,2284,Put
297,0.1,-0.1117,0.12,0.13,0.13,-0.03,-0.2308,0.374,18,1847,Put
298,0.11,-0.1087,0.12,0.13,0.13,-0.04,-0.2667,0.3699,33,851,Put
299,0.12,-0.1057,0.13,0.14,0.14,-0.03,-0.2,0.3653,15914,1594,Put
300,0.14,-0.1027,0.13,0.14,0.14,-0.01,-0.0667,0.3644,33363,12735,Put
301,0.13,-0.0997,0.14,0.15,0.15,-0.03,-0.1875,0.3508,105,2209,Put
302,0.15,-0.0967,0.15,0.16,0.16,-0.03,-0.1667,0.3492,82,2281,Put
303,0.15,-0.0937,0.16,0.17,0.17,-0.03,-0.1667,0.3395,39,4687,Put
304,0.15,-0.0907,0.17,0.18,0.18,-0.09,-0.375,0.3299,50,10291,Put
305,0.19,-0.0877,0.18,0.19,0.19,-0.02,-0.0952,0.3333,419,3740,Put
306,0.18,-0.0847,0.19,0.2,0.2,-0.07,-0.28,0.3204,64,2293,Put
307,0.2,-0.0817,0.2,0.21,0.21,-0.04,-0.1667,0.3163,186,1861,Put
308,0.22,-0.0788,0.22,0.23,0.23,-0.06,-0.2143,0.3116,246,4951,Put
309,0.22,-0.0758,0.23,0.24,0.24,-0.06,-0.2143,0.3015,268,1603,Put
310,0.26,-0.0728,0.25,0.26,0.26,-0.05,-0.1613,0.3007,2808,10625,Put
311,0.27,-0.0698,0.27,0.28,0.28,-0.07,-0.2059,0.2924,114,1192,Put
312,0.29,-0.0668,0.29,0.3,0.3,-0.06,-0.1714,0.286,398,6248,Put
313,0.31,-0.0638,0.32,0.33,0.33,-0.09,-0.225,0.2792,490,1531,Put
314,0.33,-0.0608,0.34,0.35,0.35,-0.12,-0.2667,0.2721,1852,4193,Put
315,0.38,-0.0578,0.37,0.38,0.39,-0.13,-0.2549,0.2695,986,4734,Put
316,0.41,-0.0548,0.41,0.42,0.42,-0.14,-0.2545,0.2629,604,1491,Put
317,0.45,-0.0518,0.45,0.46,0.46,-0.23,-0.3382,0.2572,774,2781,Put
318,0.49,-0.0488,0.49,0.5,0.5,-0.17,-0.2576,0.2509,1527,1980,Put
319,0.54,-0.0459,0.54,0.55,0.55,-0.2,-0.2703,0.2453,391,3259,Put
320,0.59,-0.0429,0.59,0.6,0.6,-0.24,-0.2892,0.2389,12626,10184,Put
321,0.66,-0.0399,0.65,0.66,0.67,-0.35,-0.3465,0.234,2336,3153,Put
322,0.72,-0.0369,0.72,0.73,0.73,-0.36,-0.3333,0.2272,1341,2345,Put
323,0.8,-0.0339,0.79,0.8,0.81,-0.34,-0.2982,0.2214,1562,2596,Put
324,0.88,-0.0309,0.88,0.89,0.9,-0.44,-0.3333,0.2148,1619,3216,Put
325,0.99,-0.0279,0.98,0.99,1,-0.46,-0.3172,0.2097,7857,7152,Put
326,1.08,-0.0249,1.09,1.1,1.11,-0.64,-0.3721,0.202,5102,1935,Put
327,1.24,-0.0219,1.21,1.23,1.24,-0.65,-0.3439,0.1981,2504,2100,Put
328,1.37,-0.0189,1.37,1.38,1.39,-0.68,-0.3317,0.1909,3159,4467,Put
329,1.53,-0.0159,1.53,1.55,1.56,-0.86,-0.3598,0.1843,4942,5444,Put
330,1.74,-0.013,1.73,1.75,1.76,-1,-0.365,0.1792,13231,8166,Put
331,1.97,-0.01,1.96,1.98,2,-1.14,-0.3666,0.1736,4567,1464,Put
332,2.24,-0.007,2.23,2.25,2.27,-1.28,-0.3636,0.1682,9935,1839,Put
333,2.59,-0.004,2.54,2.56,2.58,-1.37,-0.346,0.1649,6522,654,Put
334,2.93,-0.001,2.91,2.93,2.95,-1.5,-0.3386,0.1588,6249,460,Put
335,3.36,0.002,3.33,3.35,3.37,-1.69,-0.3347,0.1548,2061,534,Put
336,3.82,0.005,3.81,3.84,3.87,-1.53,-0.286,0.1497,440,80,Put
337,4.57,0.008,4.35,4.39,4.42,-1.73,-0.2746,0.1569,77,61,Put
338,5.03,0.011,4.97,5.01,5.04,-2.01,-0.2855,0.1458,224,38,Put
339,5.7,0.014,5.65,5.69,5.72,-1.8,-0.24,0.1429,162,67,Put
340,6.36,0.017,6.37,6.42,6.46,-2.22,-0.2587,0.1356,299,516,Put
341,7.54,0.02,7.16,7.21,7.26,-1.69,-0.1831,0.1626,80,5,Put
342,8.1,0.0229,7.99,8.06,8.12,-2.4,-0.2286,0.1419,22,135,Put
343,9.36,0.0259,8.86,8.95,9.03,9.36,unch,0.1765,1,0,Put
344,9.88,0.0289,9.69,9.79,9.88,9.88,unch,0.1426,2,0,Put
345,11.1,0.0319,10.63,10.73,10.82,-2,-0.1527,0.178,8,14,Put
346,25.26,0.0349,11.63,11.7,11.77,25.26,unch,0.1345,10,10,Put
347,26.54,0.0379,12.52,12.63,12.73,4.15,0.1854,0.122,1,1,Put
348,16.26,0.0409,13.56,13.63,13.69,-9.14,-0.3598,0.3785,5,2,Put
349,20.5,0.0439,14.52,14.62,14.71,20.5,unch,0.1334,1,1,Put
350,16.14,0.0469,15.53,15.63,15.73,-11.89,-0.4242,0.2385,1,8,Put
351,0,0.0499,16.48,16.61,16.73,0,unch,0.1428,0,0,Put
352,24.02,0.0529,17.43,17.57,17.71,24.02,unch,0.0253,10,10,Put
353,0,0.0558,18.39,18.55,18.7,0,unch,0.1079,0,0,Put
354,0,0.0588,19.39,19.55,19.7,0,unch,0.1068,0,0,Put
355,34.88,0.0618,20.38,20.54,20.7,34.88,unch,0.0915,10,10,Put
356,0,0.0648,21.38,21.54,21.69,0,unch,0.0617,0,0,Put
357,0,0.0678,22.38,22.54,22.7,0,unch,0.0661,0,0,Put
358,0,0.0708,23.38,23.54,23.69,0,unch,0.1567,0,0,Put
359,0,0.0738,24.37,24.53,24.69,0,unch,0.1503,0,0,Put
360,38.27,0.0768,25.4,25.55,25.69,38.27,unch,0.0027,32,4,Put
361,0,0.0798,26.37,26.54,26.7,0,unch,0.1482,0,0,Put
362,0,0.0828,27.36,27.53,27.69,0,unch,0.1201,0,0,Put
365,0,0.0917,30.36,30.53,30.69,0,unch,0.0334,0,0,Put
370,0,0.1067,35.37,35.53,35.68,0,unch,0.1804,0,0,Put
375,0,0.1216,40.36,40.53,40.69,0,unch,0.1035,0,0,Put
380,0,0.1366,45.37,45.53,45.68,0,unch,0,0,0,Put
385,59.23,0.1516,50.36,50.53,50.69,59.23,unch,0,4,1,Put
390,0,0.1665,55.36,55.52,55.68,0,unch,0,0,0,Put
395,72.38,0.1815,60.36,60.53,60.69,-3.1,-0.0411,0,2,4,Put
